Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,Y/A,TD.1,Rec,Yds.2,Y/R,TD.2,Fmb,FL,TD.3,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
364,Vince Ferragamo,GNB,QB,32,3,0,23,40,283,1,3,1,0,0.00,0,0,0,,0,3,,0,,,6,6.3,10.8,9.3,,63,
365,Mike Guman,RAM,RB,28,12,3,0,0,0,0,0,2,2,1.00,0,9,68,7.56,0,1,,0,,,6,15.0,15.5,10.5,,123,
366,Anthony Hancock,KAN,WR,26,4,0,0,0,0,0,0,0,0,,0,4,63,15.75,0,0,,0,,,6,10.3,10.3,8.3,,121,
367,Greg LaFleur,2TM,TE,28,13,0,0,0,0,0,0,0,0,,0,7,56,8.00,0,0,,0,,,6,12.6,12.6,9.1,,61,
368,Butch Rolle,BUF,TE,22,16,1,0,0,0,0,0,0,0,,0,4,56,14.00,0,0,,0,,,6,9.6,9.6,7.6,,62,
369,Rob Rubick,DET,TE,26,16,2,0,0,0,0,0,0,0,,0,5,62,12.40,0,0,,0,,,6,11.2,11.2,8.7,,60,
370,Jeff Rutledge,NYG,QB,29,16,0,1,3,13,1,0,3,19,6.33,0,0,0,,0,0,,0,,,6,6.4,6.4,6.4,,62,
371,Stacey Bailey,ATL,WR,26,6,1,0,0,0,0,0,1,6,6.00,0,3,39,13.00,0,0,,0,,,5,7.5,7.5,6.0,,126,
372,Marion Barber Jr.,NYJ,RB,27,15,0,0,0,0,0,0,11,27,2.45,0,5,36,7.20,0,1,,0,,,5,10.3,10.8,7.8,,124,
373,Terry Greer,CLE,WR,29,11,1,0,0,0,0,0,0,0,,0,3,51,17.00,0,0,,0,,,5,8.1,8.1,6.6,,123,
374,Joey Hackett,DEN,TE,28,16,3,0,0,0,0,0,0,0,,0,3,48,16.00,0,0,,0,,,5,7.8,7.8,6.3,,63,
375,James Harbour,IND,WR,24,9,0,0,0,0,0,0,0,0,,0,4,46,11.50,0,0,,0,,,5,8.6,8.6,6.6,,125,
376,Darren Long,RAM,TE,27,4,0,0,0,0,0,0,0,0,,0,5,47,9.40,0,0,,0,,,5,9.7,9.7,7.2,,64,
377,Steve Strachan,RAI,RB,23,16,1,0,0,0,0,0,18,53,2.94,0,0,0,,0,0,,0,,,5,5.3,5.3,5.3,,125,
378,Pat Tilley,STL,WR,33,1,1,0,0,0,0,0,0,0,,0,3,51,17.00,0,0,,0,,,5,8.1,8.1,6.6,,124,
379,Ron Wolfley*,STL,RB,24,16,1,0,0,0,0,0,8,19,2.38,0,2,32,16.00,0,0,,0,,,5,7.1,7.1,6.1,,126,
380,Major Everett,CLE,RB,26,9,0,0,0,0,0,0,12,43,3.58,0,0,0,,0,0,,0,,,4,4.3,4.3,4.3,,127,
381,Leonard Harris,TAM,WR,26,6,1,0,0,0,0,0,0,0,,0,3,52,17.33,0,1,,0,,,4,7.2,7.7,5.7,,127,
382,Scott Holman,STL,WR,24,3,1,0,0,0,0,0,0,0,,0,3,41,13.67,0,0,,0,,,4,7.1,7.1,5.6,,128,
383,Trey Junkin,RAI,TE,25,3,0,0,0,0,0,0,0,0,,0,2,38,19.00,0,0,,0,,,4,5.8,5.8,4.8,,65,
384,Aubrey Matthews,ATL,WR,24,4,0,0,0,0,0,0,1,12,12.00,0,1,25,25.00,0,0,,0,,,4,4.7,4.7,4.2,,129,
385,Derwin Williams,NWE,WR,25,16,0,0,0,0,0,0,0,0,,0,2,35,17.50,0,0,,0,,,4,5.5,5.5,4.5,,130,
386,Reggie Dupard,NWE,RB,23,6,0,0,0,0,0,0,15,39,2.60,0,0,0,,0,1,,0,,,3,2.9,3.4,2.9,,129,
387,Ron Middleton,ATL,TE,21,16,3,0,0,0,0,0,0,0,,0,6,31,5.17,0,0,,0,,,3,9.1,9.1,6.1,,66,
388,Walter Murray,IND,WR,24,5,0,0,0,0,0,0,0,0,,0,2,34,17.00,0,0,,0,,,3,5.4,5.4,4.4,,131,
389,Buster Rhymes,MIN,WR,24,5,0,0,0,0,0,0,0,0,,0,3,25,8.33,0,0,,0,,,3,5.5,5.5,4.0,,132,
390,Chuck Sanders,PIT,RB,22,14,0,0,0,0,0,0,4,12,3.00,0,2,19,9.50,0,0,,0,,,3,5.1,5.1,4.1,,128,
391,Travis Tucker,CLE,TE,23,16,0,0,0,0,0,0,0,0,,0,2,29,14.50,0,0,,0,,,3,4.9,4.9,3.9,,67,
392,Ken Bell,DEN,RB,22,16,0,0,0,0,0,0,9,17,1.89,0,2,10,5.00,0,1,,0,,,2,3.7,4.2,2.7,,132,
393,Walter Broughton,BUF,WR,24,8,0,0,0,0,0,0,1,-6,-6.00,0,3,71,23.67,0,5,,0,,,2,4.5,7.0,3.0,,134,
394,Tony Cherry,SFO,RB,23,5,0,0,0,0,0,0,11,42,3.82,0,0,0,,0,2,,0,,,2,2.2,3.2,2.2,,131,
395,Chuck Fusina,GNB,QB,29,7,0,19,32,178,0,1,7,11,1.57,0,0,0,,0,4,,0,,,2,2.2,5.2,3.2,,64,
396,Doug Gaynor,CIN,QB,23,1,0,3,3,30,0,0,1,4,4.00,0,0,0,,0,0,,0,,,2,1.6,1.6,1.6,,65,
397,Willie Gillespie,TAM,WR,25,2,0,0,0,0,0,0,0,0,,0,1,18,18.00,0,0,,0,,,2,2.8,2.8,2.3,,133,
398,Dan Reeder,PIT,RB,25,11,0,0,0,0,0,0,6,20,3.33,0,2,4,2.00,0,0,,0,,,2,4.4,4.4,3.4,,130,
399,Wayne Wilson,2TM,RB,29,12,0,0,0,0,0,0,10,19,1.90,0,1,-3,-3.00,0,0,,0,,,2,2.6,2.6,2.1,,133,
400,Scott Campbell,2TM,QB,24,4,0,1,7,7,0,0,1,7,7.00,0,0,0,,0,0,,0,,,1,1.0,1.0,1.0,,66,
401,Darryl Clack,DAL,RB,23,16,0,0,0,0,0,0,4,19,4.75,0,1,18,18.00,0,3,,0,,,1,1.7,3.2,1.2,,138,
402,Bobby Joe Edmonds*+,SEA,RB,22,15,0,0,0,0,0,0,1,-11,-11.00,0,0,0,,0,4,,1,,,1,0.9,2.9,0.9,,136,
403,Nuu Faaola,NYJ,RB,22,12,0,0,0,0,0,0,3,5,1.67,0,0,0,,0,0,,0,,,1,0.5,0.5,0.5,,139,
404,Todd Fowler,DAL,TE,24,16,0,0,0,0,0,0,6,5,0.83,0,1,19,19.00,0,1,,0,,,1,2.4,2.9,1.9,,69,
405,Nolan Franz,GNB,WR,27,1,0,0,0,0,0,0,0,0,,0,1,7,7.00,0,0,,0,,,1,1.7,1.7,1.2,,139,
406,Derek Holloway,WAS,WR,25,9,1,0,0,0,0,0,0,0,,0,1,7,7.00,0,0,,0,,,1,1.7,1.7,1.2,,140,
407,Bruce King,2TM,RB,23,9,1,0,0,0,0,0,4,10,2.50,0,0,0,,0,0,,0,,,1,1.0,1.0,1.0,,135,
408,Ken Margerum,2TM,WR,28,6,1,0,0,0,0,0,0,0,,0,2,12,6.00,0,0,,0,,,1,3.2,3.2,2.2,,135,
409,Mark Pattison,2TM,WR,25,3,0,0,0,0,0,0,0,0,,0,2,12,6.00,0,0,,0,,,1,3.2,3.2,2.2,,136,
